transaction_id,account_id,timestamp,amount,transaction_type,merchant_category,channel,home_country,transaction_country,is_international,beneficiary_age_days,new_beneficiary_flag,failed_login_count,device_change_flag,ip_risk_score,account_balance_before,account_balance_after,amount_to_balance_ratio,kyc_risk_band,fraud_label
23,A1000,2026-01-01 07:39:00,11389.33,NEFT,fuel,mobile_app,India,India,0,109,0,0,0,0.171,133560.6,122171.27,0.0853,Low,0
62,A1000,2026-01-01 12:30:00,9580.84,ATM,travel,mobile_app,India,India,0,4,0,0,0,0.071,115545.71,105964.87,0.0829,Low,0
162,A1000,2026-01-02 00:10:00,10944.4,POS,food,mobile_app,India,India,0,570,0,0,1,0.021,150641.13,139696.73,0.0727,Low,0
364,A1000,2026-01-02 10:26:00,8698.58,ATM,shopping,mobile_app,India,UK,1,61,0,0,0,0.128,131244.07,122545.49,0.0663,Low,0
463,A1000,2026-01-02 13:04:00,7248.72,POS,entertainment,mobile_app,India,India,0,33,0,0,0,0.281,111577.75,104329.03,0.065,Low,0
499,A1000,2026-01-02 17:42:00,11338.79,IMPS,shopping,mobile_app,India,India,0,134,0,0,0,0.215,117822.14,106483.35,0.0962,Low,0
500,A1000,2026-01-02 19:29:00,11096.86,POS,travel,mobile_app,India,India,0,65,0,0,0,0.09,132054.35,120957.49,0.084,Low,0
551,A1000,2026-01-02 22:17:00,13650.43,UPI,travel,mobile_app,India,India,0,75,0,0,0,0.147,128952.13,115301.7,0.1059,Low,0
687,A1000,2026-01-03 03:49:00,19735.09,CARD_NOT_PRESENT,electronics,ATM,India,India,0,23,0,0,1,0.811,131719.66,111984.56,0.1498,Low,1
754,A1000,2026-01-03 12:28:00,10820.91,UPI,food,mobile_app,India,India,0,64,0,0,0,0.147,117712.16,106891.25,0.0919,Low,0
825,A1000,2026-01-03 22:26:00,11307.17,IMPS,grocery,web_banking,India,India,0,185,0,0,0,0.187,123172.37,111865.19,0.0918,Low,0
975,A1000,2026-01-03 23:10:00,13688.07,CARD_NOT_PRESENT,entertainment,mobile_app,India,India,0,116,0,0,0,0.048,128039.06,114350.98,0.1069,Low,0
1028,A1000,2026-01-04 01:47:00,9820.23,IMPS,fuel,web_banking,India,India,0,34,0,0,0,0.076,118798.78,108978.56,0.0827,Low,0
1209,A1000,2026-01-04 03:07:00,10720.67,IMPS,grocery,mobile_app,India,India,0,49,0,0,0,0.167,102684.06,91963.39,0.1044,Low,0
1213,A1000,2026-01-05 00:43:00,51901.61,NEFT,shopping,web_banking,India,India,0,1,1,0,1,0.881,127923.84,76022.24,0.4057,Low,1
1265,A1000,2026-01-05 11:57:00,8763.6,IMPS,food,mobile_app,India,India,0,46,0,0,0,0.14,126429.0,117665.4,0.0693,Low,0
1381,A1000,2026-01-06 06:05:00,9904.66,UPI,electronics,mobile_app,India,India,0,320,0,0,0,0.031,151214.99,141310.33,0.0655,Low,0
1446,A1000,2026-01-06 17:34:00,10961.97,ATM,food,mobile_app,India,India,0,131,0,0,1,0.057,108200.57,97238.6,0.1013,Low,0
1516,A1000,2026-01-07 06:20:00,8137.33,POS,shopping,mobile_app,India,India,0,24,0,0,0,0.102,118008.42,109871.09,0.069,Low,0
1518,A1000,2026-01-08 14:31:00,11559.11,UPI,food,mobile_app,India,India,0,138,0,0,0,0.113,125044.01,113484.9,0.0924,Low,0
1615,A1000,2026-01-10 05:24:00,10815.63,ATM,entertainment,mobile_app,India,India,0,210,0,1,0,0.148,130076.07,119260.44,0.0831,Low,0
1639,A1000,2026-01-10 22:57:00,9150.3,POS,food,POS_terminal,India,India,0,7,0,0,0,0.277,128710.34,119560.03,0.0711,Low,0
1661,A1000,2026-01-11 05:39:00,12758.96,CARD_NOT_PRESENT,fuel,mobile_app,India,India,0,49,0,1,0,0.288,120256.29,107497.34,0.1061,Low,0
1822,A1000,2026-01-11 14:13:00,9565.53,IMPS,electronics,mobile_app,India,India,0,101,0,0,0,0.157,112354.77,102789.25,0.0851,Low,0
1891,A1000,2026-01-11 16:05:00,8001.04,POS,travel,mobile_app,India,India,0,217,0,1,0,0.348,123693.0,115691.96,0.0647,Low,0
